"lncRNAs","Genes","Counts","listTotal","popHits","popTotal","foldEnrichment","hyperPValue","miRNAs","cor","corPValue","regSim","sppc"
"ENSG00000224189","ENSG00000082397","1","1","13","277","21.3076923076923","0.0469314079422382","hsa-miR-125a-3p",0.207790120070516,2.13219452246937e-05,0.828458733711368,0.00735775152026771
"ENSG00000224189","ENSG00000105974","1","1","6","277","46.1666666666667","0.0216606498194944","hsa-miR-125a-3p",0.124808452830757,0.00732503477400831,0.67668800713518,0.0225667925953679
"ENSG00000249859","ENSG00000116337","2","7","11","277","7.19480519480519","0.0270602754785713","hsa-miR-93-5p,hsa-miR-106a-5p",0.265719602986108,6.76618404201844e-08,0.490403035838524,0.0175501048178732
"ENSG00000232956","ENSG00000101255","1","1","10","277","27.7","0.0361010830324907","hsa-miR-24-3p",0.434289077753562,2.64320594022768e-19,0.970533275954922,0.0181015583716427
"ENSG00000232956","ENSG00000025772","1","1","12","277","23.0833333333333","0.043321299638989","hsa-miR-24-3p",0.531051040250944,1.75648713267212e-29,0.676636260768908,0.0207392381281559
"ENSG00000232956","ENSG00000137692","1","1","7","277","39.5714285714286","0.0252707581227435","hsa-miR-24-3p",0.392233327840684,8.44183524297589e-16,0.955508985070559,0.0200370510331916
"ENSG00000232956","ENSG00000135912","1","1","13","277","21.3076923076923","0.0469314079422382","hsa-miR-24-3p",0.23971678860734,1.07312187870931e-06,0.932924618693703,0.0262643200576004
"ENSG00000232956","ENSG00000172164","1","1","12","277","23.0833333333333","0.043321299638989","hsa-miR-24-3p",0.224518281699075,4.70121693740311e-06,0.605029226723395,0.0510683349309491
"ENSG00000232956","ENSG00000176619","1","1","4","277","69.25","0.0144404332129962","hsa-miR-24-3p",0.261751373042277,1.05216580806423e-07,0.822854512997575,0.015078432751662
"ENSG00000232956","ENSG00000133612","1","1","10","277","27.7","0.0361010830324907","hsa-miR-24-3p",0.375191288331901,1.62454717707034e-14,0.952490607266456,0.0170373526439976
"ENSG00000232956","ENSG00000119969","1","1","4","277","69.25","0.0144404332129962","hsa-miR-24-3p",0.185687533564664,0.000131569897258943,0.932243185047297,0.0213135455334066
"ENSG00000232956","ENSG00000047634","1","1","10","277","27.7","0.0361010830324907","hsa-miR-24-3p",0.38632183452809,2.40119008784104e-15,0.872793136429541,0.0139391008313216
"ENSG00000232956","ENSG00000147799","1","1","1","277","277","0.00361010830324893","hsa-miR-24-3p",0.319576129121482,8.07862770500054e-11,0.973575049863212,0.0216506820954024
"ENSG00000232956","ENSG00000189120","1","1","3","277","92.3333333333333","0.0108303249097472","hsa-miR-24-3p",0.239135802188717,1.13756194637594e-06,0.898146952503945,0.0184799022552489
"ENSG00000232956","ENSG00000179862","1","1","1","277","277","0.00361010830324893","hsa-miR-24-3p",0.0949129711090108,0.0319294946945585,0.421668190889261,0.00642362708140322
"ENSG00000163597","ENSG00000182199","1","4","3","277","23.0833333333333","0.0428515574834835","hsa-miR-485-5p",0.252180128619812,2.96324945221092e-07,0.988026067709055,0.0246623483234532
"ENSG00000163597","ENSG00000179041","1","4","1","277","69.25","0.0144404332129964","hsa-miR-485-5p",0.258005261172918,1.58573407127188e-07,0.864771841985657,0.0178253894969762
"ENSG00000163597","ENSG00000138035","1","4","3","277","23.0833333333333","0.0428515574834835","hsa-miR-183-5p",0.375512194756402,1.53898834164682e-14,0.916208191865863,0.0274234730040008
"ENSG00000163597","ENSG00000137804","1","4","1","277","69.25","0.0144404332129964","hsa-miR-183-5p",0.202916500610482,3.24013722836944e-05,0.967459265476563,0.0316908900555424
"ENSG00000163597","ENSG00000204899","1","4","1","277","69.25","0.0144404332129964","hsa-miR-505-3p",0.239149573798411,1.13599252919688e-06,0.339254251699483,0.000664756582665432
"ENSG00000163597","ENSG00000143507","2","4","19","277","7.28947368421053","0.0246765176937594","hsa-miR-216a-5p,hsa-miR-183-5p",0.105617329492075,0.019542978662663,0.720986585235545,0.0116339423451869
"ENSG00000255717","ENSG00000025772","3","6","12","277","11.5416666666667","0.00116504797220786","hsa-miR-326,hsa-miR-330-5p,hsa-miR-421",0.319981218307364,7.63835246251639e-11,0.986858930650633,0.0267923453714925
"ENSG00000255717","ENSG00000198720","2","6","16","277","5.77083333333333","0.0410290456453907","hsa-miR-326,hsa-miR-330-5p",0.322886453453169,5.09779334344943e-11,0.975868318276054,0.0181681753809572
"ENSG00000255717","ENSG00000176619","2","6","4","277","23.0833333333333","0.00230894448832253","hsa-miR-326,hsa-miR-330-5p",0.249026122280989,4.1307733410244e-07,0.0152284975952042,-0.0127433977609352
"ENSG00000255717","ENSG00000162062","1","6","1","277","46.1666666666667","0.0216606498194944","hsa-miR-377-3p",0.368060170683251,5.32370095995032e-14,0.175509737795412,-0.00240697464207373
"ENSG00000255717","ENSG00000111490","1","6","1","277","46.1666666666667","0.0216606498194944","hsa-miR-421",0.329125645582937,2.10785526809502e-11,0.856995912506268,0.0417578256238594
"ENSG00000255717","ENSG00000163032","1","6","2","277","23.0833333333333","0.0429288965625489","hsa-miR-21-5p",0.242695160172366,7.93975214625589e-07,0.950564156826862,0.0527311569175668
"ENSG00000255717","ENSG00000072571","1","6","2","277","23.0833333333333","0.0429288965625489","hsa-miR-421",0.37570229354515,1.49040363695581e-14,0.913240444086181,0.0241698289673881
"ENSG00000234456","ENSG00000079335","2","2","23","277","12.0434782608696","0.00661853188929001","hsa-miR-374b-5p,hsa-miR-374a-5p",0.40151577931107,1.56651680057394e-16,0.574254020250166,0.000456415203547389
