"","symbol","HR","lower95","upper95","pValue"
"ENSG00000163597","SNHG16","0.6217242893348","0.401103229670582","0.963694788162938","0.0362"
"ENSG00000101955","SRPX","1.71673111214267","1.10714759618877","2.66194473216025","0.0168"
"ENSG00000100784","RPS6KA5","0.466372344435338","0.300754918729805","0.723190711469346","0.000932"
"ENSG00000157168","NRG1","0.554024712667648","0.357295173485256","0.859075086999841","0.0108"
"ENSG00000179241","LDLRAD3","1.68195742108889","1.08489751240377","2.60760185548579","0.0216"
"ENSG00000136492","BRIP1","0.609848854190708","0.392651820537686","0.947189355822745","0.0261"
