"","symbol","coef","HR","lower95","upper95","pValue"
"hsa-miR-495-3p",NA,0.359669170225399,1.43285530494231,1.03574332684358,1.98222307756309,0.0298518446198606
"hsa-miR-130a-3p",NA,0.334270054744285,1.39692033760525,1.05570320843383,1.84842332013949,0.0193188080033344
"hsa-miR-1271-5p",NA,0.349490359686499,1.41834451882112,1.16321442136355,1.72943280028436,0.000551826426755912
