"","symbol","coef","HR","lower95","upper95","pValue"
"ENSG00000163597","SNHG16",-0.564630911632808,0.568569960593625,0.361984436785772,0.89305441681393,0.0142483609425189
"ENSG00000269821","KCNQ1OT1",0.209477376319574,1.23303347903988,1.01923586941018,1.49167784029522,0.0310780942730313
"ENSG00000130600","H19",0.114784742816772,1.12163197224533,1.03055997523758,1.22075212640869,0.00789146908319213
"ENSG00000133612","AGAP3",0.427067541626416,1.53275618307348,1.00665331874308,2.33381390892686,0.0464943790705247
"ENSG00000111962","UST",0.160346838893301,1.17391796079679,1.02385283613093,1.34597798633735,0.0215754037081828
"ENSG00000157168","NRG1",-0.139832768794499,0.869503631381558,0.773104876319831,0.97792238562074,0.0196832337244861
"ENSG00000150907","FOXO1",-0.366806292050514,0.692943860779025,0.514879967941809,0.932588611110247,0.0154989115472138
"ENSG00000159167","STC1",0.202506739604617,1.22446833752657,1.00715988323582,1.48866404883803,0.0422006929645221
"ENSG00000135299","ANKRD6",0.231595049674261,1.2606091413716,1.02544703059411,1.54970014042457,0.0279129548186405
"ENSG00000177732","SOX12",0.252349608846411,1.28704592127836,1.00219818495476,1.65285392484925,0.0480226504281048
"ENSG00000188760","TMEM198",0.204030168290808,1.22633514933357,1.01841596439516,1.47670298882653,0.0313594265717806
