"lncRNAs","Genes","Counts","listTotal","popHits","popTotal","foldEnrichment","hyperPValue","miRNAs","cor","corPValue","regSim","sppc"
"ENSG00000224189","ENSG00000082397","1","1","13","277","21.3076923076923","0.0469314079422382","hsa-miR-125a-3p",0.477434559900939,2.20143086917735e-05,0.704503305872381,0.0437367187624591
"ENSG00000224189","ENSG00000105974","1","1","6","277","46.1666666666667","0.0216606498194944","hsa-miR-125a-3p",0.340239781339013,0.00242261125168315,0.714440871658046,0.0600167858073682
"ENSG00000249859","ENSG00000116337","2","7","11","277","7.1948051948052","0.0270602754785713","hsa-miR-93-5p,hsa-miR-106a-5p",0.392185594464149,0.000514767270533385,0.999027330152715,0.0601565594164285
"ENSG00000234456","ENSG00000198121","2","2","4","277","69.25","0.000156961230576048","hsa-miR-374b-5p,hsa-miR-374a-5p",0.405186454693242,0.000335312815697812,0.85808807279227,0.0319119463801286
"ENSG00000234456","ENSG00000065320","2","2","15","277","18.4666666666667","0.00274682153508084","hsa-miR-374b-5p,hsa-miR-374a-5p",0.428443978629245,0.000148981152263297,0.873400399242072,0.0294027693029262
"ENSG00000234456","ENSG00000079335","2","2","23","277","12.0434782608696","0.00661853188929001","hsa-miR-374b-5p,hsa-miR-374a-5p",0.364673857790562,0.00120653722198929,0.582024423766484,0.00189499410628707
"ENSG00000234456","ENSG00000113448","2","2","50","277","5.54","0.0320462512426097","hsa-miR-374b-5p,hsa-miR-374a-5p",0.509286435704536,5.38157824183239e-06,0.87299874372032,0.0222537061382644
"ENSG00000234456","ENSG00000065534","2","2","20","277","13.85","0.00497043896824151","hsa-miR-374b-5p,hsa-miR-374a-5p",0.749589039158613,1.46115221774589e-13,0.855290674729334,-0.00244433876130584
"ENSG00000234456","ENSG00000113580","2","2","50","277","5.54","0.0320462512426097","hsa-miR-374b-5p,hsa-miR-374a-5p",0.797512980565359,3.32781571735814e-16,0.948580039133815,0.00545725268363018
"ENSG00000234456","ENSG00000164176","2","2","5","277","55.4","0.000261602050960079","hsa-miR-374b-5p,hsa-miR-374a-5p",0.756349763596512,6.74707888627373e-14,0.899830496128827,0.00392029220266649
"ENSG00000234456","ENSG00000143995","2","2","20","277","13.85","0.00497043896824151","hsa-miR-374b-5p,hsa-miR-374a-5p",0.756544863642121,6.59584621873118e-14,0.951683780466478,0.00752814848121802
"ENSG00000234456","ENSG00000220205","2","2","15","277","18.4666666666667","0.00274682153508084","hsa-miR-374b-5p,hsa-miR-374a-5p",0.549650529629389,7.27388745514418e-07,0.909351090009141,0.0194795900905481
"ENSG00000234456","ENSG00000066468","2","2","12","277","23.0833333333333","0.00172657353633652","hsa-miR-374b-5p,hsa-miR-374a-5p",0.212020796898727,0.0424942594668854,0.970371542298084,0.0336851783360701
"ENSG00000234456","ENSG00000122707","2","2","53","277","5.22641509433962","0.036048762622299","hsa-miR-374b-5p,hsa-miR-374a-5p",0.860125753670116,5.65681290237933e-21,0.963388297759234,0.00320663123164483
"ENSG00000234456","ENSG00000172869","2","2","33","277","8.3939393939394","0.0138125882906922","hsa-miR-374b-5p,hsa-miR-374a-5p",0.500880706810967,7.91281594292852e-06,0.9982491384917,0.0141720662753296
"ENSG00000234456","ENSG00000162407","2","2","35","277","7.91428571428571","0.0155653220321247","hsa-miR-374b-5p,hsa-miR-374a-5p",0.502670084202197,7.29559087598752e-06,0.958405637733873,0.0210081016176541
"ENSG00000234456","ENSG00000198947","2","2","38","277","7.28947368421053","0.0183906241824936","hsa-miR-374b-5p,hsa-miR-374a-5p",0.336353458274682,0.00269342131167466,0.975169854386019,0.0147072652548262
"ENSG00000234456","ENSG00000137558","2","2","7","277","39.5714285714286","0.000549364307016167","hsa-miR-374b-5p,hsa-miR-374a-5p",0.52365110890741,2.71848634610399e-06,0.963366797645292,0.0186745781174807
"ENSG00000234456","ENSG00000112773","2","2","52","277","5.32692307692308","0.0346884319573066","hsa-miR-374b-5p,hsa-miR-374a-5p",0.334819301026764,0.00280746407128123,0.997286918713222,0.022055502781195
"ENSG00000234456","ENSG00000169554","2","2","48","277","5.77083333333333","0.029508711348297","hsa-miR-374b-5p,hsa-miR-374a-5p",0.869896562857786,6.30538564834952e-22,0.964955596869167,0.00288573052645874
"ENSG00000234456","ENSG00000130449","2","2","45","277","6.15555555555556","0.0258986030450479","hsa-miR-374b-5p,hsa-miR-374a-5p",0.281127715199268,0.0105969228728482,0.99602902211426,0.0245079958089971
"ENSG00000234456","ENSG00000111913","2","2","6","277","46.1666666666667","0.000392403076440119","hsa-miR-374b-5p,hsa-miR-374a-5p",0.49059224162473,1.25122974954319e-05,0.907562164243596,0.0236795046616446
"ENSG00000234456","ENSG00000079308","2","2","29","277","9.55172413793103","0.0106210432689792","hsa-miR-374b-5p,hsa-miR-374a-5p",0.757139016466908,6.15504420412019e-14,0.942632467560443,0.00694551384995484
"ENSG00000234456","ENSG00000169851","2","2","28","277","9.89285714285714","0.00988855752629099","hsa-miR-374b-5p,hsa-miR-374a-5p",0.83437561113683,8.98553559607632e-19,0.96716412574948,0.00450813918555543
"ENSG00000234456","ENSG00000108061","2","2","49","277","5.6530612244898","0.0307644011929053","hsa-miR-374b-5p,hsa-miR-374a-5p",0.554686898939774,5.56164434422344e-07,0.692871348475628,-0.000167564570286993
"ENSG00000234456","ENSG00000109436","2","2","31","277","8.93548387096774","0.0121644953696437","hsa-miR-374b-5p,hsa-miR-374a-5p",0.360008047584334,0.00138411962247866,0.988253161218236,0.0236444943024798
