id	filename	md5	size	state
3077108e-b6c5-4c3e-b52f-dd0ff54ae156	dc184797-d781-47c8-9747-bfe94d6becd7.mirbase21.isoforms.quantification.txt	8a231f110179a3cc9b0e0d558d626454	285206	released
db85fafa-b3d2-4bc1-8457-af0b4162e9b4	701d3046-f825-46cd-a03b-d33ac00b49b4.mirbase21.isoforms.quantification.txt	3dfb1b1ab50bf84c3143861651fb3e9f	372908	released
07edb431-72f9-4047-9dd6-652c825f9125	6e921bbb-6bb1-4080-9d11-c306eb510af9.mirbase21.isoforms.quantification.txt	cf7976fd438e56418058135c05c2fe48	395625	released
99623a3e-2ecb-46b3-ba5f-3162849fe782	bce88a72-972c-48e7-9790-038aab24cf05.mirbase21.isoforms.quantification.txt	c030d378172e17908285651ae25ef2ba	450929	released
d1c07ae4-06db-45e4-9c67-20445617a292	009e2bce-311c-4a1d-8325-ae0009e01101.mirbase21.isoforms.quantification.txt	359d7a671e12bf2d65a022372ac52fc9	365697	released
26874a06-c8d5-4ab0-ad2b-9312747141f5	55a1b170-35fc-47c1-a81a-52f543338b56.mirbase21.isoforms.quantification.txt	d3f1c67b9f4a6f8209c5d26d0e0958fd	486422	released
7fdc358c-3ebe-4a78-8913-c47d7da39986	1f8cd363-7011-41cc-811b-cd2de142a504.mirbase21.isoforms.quantification.txt	e557f044686bb6a8374aa6daf9bccab2	494531	released
25713abc-19d7-4162-a5a3-b43d8730cf9b	0bbf1c6b-6fdc-4b2d-8a62-df4d992749fd.mirbase21.isoforms.quantification.txt	d56c1a591891ada1810cf60bbad75c3c	306325	released
f66cf806-639b-4b4d-b6b0-ad7606e88b3f	5877bf6c-9b65-4b04-badb-081b706be097.mirbase21.isoforms.quantification.txt	6fd2272daca143f504615a43f664f36c	315080	released
316f4930-1890-4338-aea6-24bd81022a52	0de5c5c2-54f5-427a-b3a0-24a0f8f77e48.mirbase21.isoforms.quantification.txt	d301cde129a0bcc520ab8ff5a4dd37f6	268595	released
2d78c7d6-b7e0-4c29-884b-b89b5080482b	2db37c6c-31e3-4091-921d-fe146a347220.mirbase21.isoforms.quantification.txt	9ccc64a898b9b5a849a4e28602977ef4	358056	released
f3544d6e-fc40-4d2e-a178-1264c8029c71	9c12c11a-1fa7-4565-b550-891f4792577b.mirbase21.isoforms.quantification.txt	3fdb843c33bebe1e23ed315e4e256eac	376408	released
3e60cb2d-adbe-4dba-997e-61b8fe8b8d34	245c94e4-a6b4-4bd2-9a50-a65db010d13f.mirbase21.isoforms.quantification.txt	e823aefe86325a0c443c929438ce5ce0	328933	released
1747db3d-eb1a-4740-b1b8-274a37747352	c02342d9-f465-4546-a474-d0a0ff82b25e.mirbase21.isoforms.quantification.txt	5fb5d03217907dd576c21429d3876b2b	362794	released
14728000-8761-43ec-bcb6-3236307e5b44	afd7e54c-186c-4191-8c33-b291509ccf1b.mirbase21.isoforms.quantification.txt	9e412cdc11dcd8301e056ebc0d3eef04	441481	released
f3d92a0c-74ac-4554-9546-18060df03e87	05576a12-39c2-4601-9e39-002fe040e136.mirbase21.isoforms.quantification.txt	bd6d9cc9202c1fbb62c0b78b5687c569	312561	released
e83c6557-3a23-43d9-b140-c3d6ad1749e6	d7766a3b-051f-450d-a409-da0e8a143cee.mirbase21.isoforms.quantification.txt	1aa5b3213fe8c6121f77d2e350aea5aa	396270	released
b3b83036-ee9c-48c1-ac2e-ad948fdc5abb	9e259b1e-24a4-421c-bc82-047ced9e26a5.mirbase21.isoforms.quantification.txt	af2672167bc2d49399706a93aaf98369	286152	released
52454c9c-bfd6-4eb3-9650-376c33290ce2	a474dbdf-ef93-49bb-a738-8c287a512161.mirbase21.isoforms.quantification.txt	86cdfee355f90a4c3a85c7194160f7a9	224929	released
c63ba8d7-8d84-40fc-a15d-d30eb7b9a619	5ac186fd-c93e-46d4-968c-7eeb8591ec41.mirbase21.isoforms.quantification.txt	54298a9870cc07bda3b36c69b8a7818e	320958	released
9ef5f341-527c-4e49-bc35-73ce81c0360b	ab13d803-624c-4487-8d02-6b11f3af9417.mirbase21.isoforms.quantification.txt	348430f36936f1f7b46d0d95c1a6dfff	355676	released
