id	filename	md5	size	state
90aa543b-8929-4a38-b38b-3c69afb34f06	a7751cc2-eed3-4fb9-aaf0-abbd31bca875.htseq.counts.gz	366f3e448369b617122865a6bf4966ec	240679	released
5246416e-dbbb-4010-8331-d17a7733edce	46d30834-ed45-4298-bd3d-c8beb2a00b4d.htseq.counts.gz	675fc6d9e9a70ded82562cfcdd7706f4	248696	released
340227c2-4cb6-4f9b-8e49-44171be1af21	81dacb41-5fc0-4176-8766-35f83ca3501b.htseq.counts.gz	4e60b4c65cc26a09dc10a5ec02a49b5f	252196	released
8e5bb0c3-fcee-4567-9a71-be287f591a9c	1f059f70-721d-4a91-9aa5-d240293074ab.htseq.counts.gz	c64b79b98596182409404495fca2171c	242422	released
c4fbe93c-27d7-4d2a-9a99-6eda89a114fb	7adb9e76-26da-4812-9357-f8ba01a6daa9.htseq.counts.gz	7abaf56fae971ab67d56f6f3731b734f	255197	released
11a2ead3-01b5-4e84-8da0-d14c4c0ae3b1	ef346f06-5795-481c-aa55-d4dc5c7c90ad.htseq.counts.gz	dd2c40377ff26f3b7478186ed480b441	246672	released
2cce9771-400a-4d96-a164-d1fc55cef8fc	e0d1cd83-3f64-4e7d-9676-130f4ffb5fd1.htseq.counts.gz	a64862cd82fe17148dbc8f1e900d3ba5	242376	released
4decf64a-bcb4-41dd-b21b-e9007680d451	9dda581a-610f-44c2-948b-552389022676.htseq.counts.gz	15bf5871146767a5ac127ff9362d7146	255161	released
d71e894d-1bd0-46e7-85bd-ab18f6935193	108ce3fb-e25d-4f51-9d45-2a4a5360d959.htseq.counts.gz	1bb377fe290605f865fd398128acca43	239444	released
d5f66c10-9552-4ebf-8ba7-8cfbf7a59848	e72f90e4-587b-40ef-a8a4-09f1a7f44d43.htseq.counts.gz	39d6ff2ffb0c53e51e49000a2bb8d4e4	249099	released
a8f5011b-c4ca-4861-ac4d-4a6bc2307d86	d1568c45-efd0-4f11-85f3-4df20837c6ad.htseq.counts.gz	70f5f59d4725d3b1fb2825421396e075	248732	released
01ad764b-a8a2-4d59-b77e-c6e4f2c425f3	c26b0e04-f9d8-43fc-b58d-e0468bdb9e2d.htseq.counts.gz	2349c068097bcead4ddfc491edf0bc7d	244463	released
2c17a552-4e49-4018-bd36-d6aa10196ccd	66c79d5c-b87f-4e5e-9872-7a294cd03a3c.htseq.counts.gz	66aae290e90a501a733ac0a6201df1c1	249932	released
f1572ceb-0891-46f8-baaa-25cd01f12454	9ebbd3cb-b585-4c90-8e34-f42e22b97c08.htseq.counts.gz	001ba3fd50d54d9e2d66dcf3a950d06b	252881	released
fad7d93f-95a2-4166-8dfe-29c18f76214f	56c021d1-0f4f-43cc-b56e-9972852da215.htseq.counts.gz	732071046ee90b09c2424d61628d90ee	244504	released
ab9f25e7-f370-41fa-8955-9e50c3ccca8b	63bc7938-bce0-43e8-ac38-b47b0823b13f.htseq.counts.gz	ee9273f3d83b9f316894b8aa672f523f	238250	released
15f74c8a-d755-4738-a604-7b970a84ed17	72266228-0a2b-4dad-adf2-d4f34c0b7804.htseq.counts.gz	64175d04762305a94ea34bcbefdbc19f	251855	released
d1cd991b-adee-4aee-8ab5-267201ae6769	6c36cbba-574a-46cd-b4d8-5ded5458f865.htseq.counts.gz	c6019c186892abe1d2c96a57fcba248b	247655	released
e807dd33-79fa-4576-8657-a64ae8038772	9c099b2d-a580-4d9f-829b-02576ffc197a.htseq.counts.gz	6c281aceafddaf724fbdad178240436c	242549	released
896a049d-5ff7-46a7-a0d6-71ae11237bba	4de9559e-fbd9-4e29-9541-302844933623.htseq.counts.gz	a1e218144d3bd01e12d9942033d20a47	242097	released
ea84f0c3-916c-499f-bea3-83031c944735	08fc31fb-dd11-4e6a-9198-fb9e2608f6a0.htseq.counts.gz	4a47485aff6c6275eead54cee53e4fc0	242171	released
f1a52b36-9a48-48d4-9177-4153da9ef23a	3e3c165d-8276-441e-a2db-42f4bee94b3d.htseq.counts.gz	b591ce7174dadf7cc25ee19db914f306	254691	released
f6f0c3a5-9144-4d13-b0a2-4b5dbb3aaf96	2ffe5c2b-5baf-480b-9886-25253003b52b.htseq.counts.gz	96b2730580751b6f26e526e35a080be9	253587	released
045cf700-b495-4240-bd2d-8e796e657e32	0ca66651-4965-4874-8d64-f9b90db6f80a.htseq.counts.gz	1fdaaf7ef0e2e6262853f62930026e4f	248525	released
37a11793-4c4a-4437-b011-d6d0984a366f	5ba74876-bd88-4533-ad8d-83a0b4fd352c.htseq.counts.gz	f47e547470a4d4bbf4a0ceb7c8f08ea4	248127	released
a0f080c8-041e-4649-9723-99a0a84bed97	09d57455-fdd9-4529-aeb7-8962d7997354.htseq.counts.gz	579fc6daf744c104dd0c45776b9a8861	239566	released
f0e8771a-cdc6-4fc2-a57e-93bda9e86701	e8b1d97a-2c30-4a18-adb1-15789d187dc3.htseq.counts.gz	4cfa2f139190c5b6ef442eefd7227c70	252007	released
77ed8c29-18d8-41a2-9151-5028725ea4b5	6cdc93af-c96c-4dca-a540-08c6cb71bc6c.htseq.counts.gz	31eab94281f6693f7945949b86aa4042	242296	released
5bbaea5f-8c4d-4cd0-b9fc-34b8ce1c1ba3	6f384ab7-32ac-4599-94f4-314b6d21b86d.htseq.counts.gz	32e47fb5160b74bd582897740061f202	242823	released
be822c24-1e54-4ee8-b765-c713e185374a	4164585c-16ab-4133-95fe-0fb1ec1837b3.htseq.counts.gz	ddf02ccd6c960b86c736368c8c9489cf	256200	released
e3658ac5-9a6f-43cc-b405-401f945f2f12	cd550979-69b5-43d0-9724-cc25eb502cb8.htseq.counts.gz	f7628004e79fbf39e5ba181c74397056	252674	released
5954f102-c6ce-4f1c-bc51-16a874d75fe1	4e7e76ad-0f1d-4322-a749-a483a810dba5.htseq.counts.gz	6cb5e31164371f76de8ff7d67299798c	251349	released
b84cc878-7e0b-4ba3-b498-f199aa285d4b	fc01cc0f-e4e6-4c2e-8be9-b5791a1a600c.htseq.counts.gz	43fe16dbe6c2f13f14864b3247abe387	242302	released
f1cfd607-5b62-4bef-a89e-96cce80756a7	8f2d819d-6def-4f50-b2b7-d91ad528b7cc.htseq.counts.gz	bfa8e38ea36fe29d38ef5c96ada0568a	239163	released
6b06becd-b40e-4d27-9978-2e3356eba11b	7d1be289-a771-46ec-a5d0-26a2981f7b66.htseq.counts.gz	3e5515516fd0eb8c85c0d1c09c87ad62	254152	released
b4a6ebbc-78a8-430e-920f-b85bf41c9430	0ae155e4-871d-4b8c-9f78-c1fdf50b7610.htseq.counts.gz	61984b50bdaf24068392d4ebec957081	244900	released
ad1db357-c9ee-4079-ab36-18788acedda8	1bc7c84d-0e4f-4c25-8e8c-62ff9c1082e8.htseq.counts.gz	a4d6f86fad3335849d247c06c36bd1c3	252198	released
b473a450-e04e-4ddc-8db4-6d32e31ea61e	7a2ea46c-25ce-4105-9366-a82292ea1340.htseq.counts.gz	5ac8fead502ab6b5c3fa5b75447fc766	246223	released
efadc1e3-8eee-4c34-89d7-c003d0f03beb	234724ab-6f82-4ac9-9948-37ffd9c3e418.htseq.counts.gz	76ec3171c717f3c15a41b59bff5f8407	243533	released
02186507-4f13-48b3-aff2-888f8445ff18	e4659168-40fd-45c7-a042-25da0c8a13f4.htseq.counts.gz	21869f4080a562802e85dc800528825d	241049	released
22b03939-7149-4916-b390-d615f23e44aa	cc81a268-ece2-42e7-97b0-f3ba7ad47508.htseq.counts.gz	4359ef668679a3f7ab7aaddc88aa8b9a	251783	released
8a87212e-ff77-4579-9e5e-4d55b30b33d4	f0de7aa3-bd3d-4143-a0ff-70be2ebb42af.htseq.counts.gz	f7c667a598efa4317ff6d79ebe6749cf	243151	released
ee4f2011-8e92-4267-999e-96fbea52af87	6c80f823-8ac5-482c-870b-738c1fc88bfc.htseq.counts.gz	1935c8fd55e01110f0cc83415cafc298	250495	released
5b2cc758-8fae-4271-a4cb-964daa2e8bce	1d01ca59-297a-4600-9267-e6333ce3b2b3.htseq.counts.gz	7f35aa6cd9e4d98ac9d3af79e002b02f	243616	released
0c000446-aea7-4071-a361-cfe74f6cc456	44322931-f6e5-41c6-bf1d-5f1d3635ec73.htseq.counts.gz	f7b1e760cf9fa71f2e5e297c75dc1204	241656	released
d29657b1-d7b6-4382-96a2-1421e81d194f	8436cad7-0a0e-4e47-ae15-f0ef5010ca1a.htseq.counts.gz	783d7aba17e18824feb567beda4da33f	251872	released
d595f4b9-80ef-4ad5-ae66-89def85a1da2	1388023a-6f90-4d8b-a3f2-04a4d53514d0.htseq.counts.gz	0fd07f75f7ff91e1fa4ea7e1dde50f22	244168	released
6c792525-b3ee-42a5-bf8d-8ac992bcaf3e	dce4add4-d840-4a9f-9c8f-34ec9d6962ad.htseq.counts.gz	107c1c737d26eebf56558ff22c1d8bb9	243984	released
e0eb0d80-48ea-4535-aba0-9662e9016d37	4e2f5ec0-e96c-4e7d-bbf9-dcca3641943e.htseq.counts.gz	9101fd9e52b7d5ecc48021da14affd83	251272	released
f1638ce5-27d4-4122-922e-3c3a7de1296c	62dbb8ae-e214-40a9-99e0-8680c3a7f565.htseq.counts.gz	6e5ddd6fcc67dc31d2c8eb54c2a693c2	241839	released
1d166c62-d274-4598-b2c4-1dab62d96b83	dc60af8e-6d7e-47fa-80bd-169d9490faea.htseq.counts.gz	cbd6f3a6b55ee2ca4ef3072b88f87a1f	253914	released
92453ffb-8524-47d1-94ae-39665160abf5	c7f72b3b-3e16-45f0-bf05-cd0c7ecc8e6e.htseq.counts.gz	5a4e74220cab4b2a44e6de0f9d09f41b	244977	released
a8e7328f-3db4-45ed-8761-a7e356ab03c2	5eb7edfc-a7f8-40b2-86a1-b65b5ac148e8.htseq.counts.gz	41f6f2f871a77714ec1653f6ba1b2852	251519	released
87a7a7f9-5bf4-402b-8c14-a266b01f672d	323800b5-c319-4fd8-ac96-87193afb93e4.htseq.counts.gz	c4a5695b973c7ee19334ab9864ff1134	243883	released
2e754e78-f929-4cf8-bec4-3300bd16d375	3008e71d-b93e-4122-b483-a25801996efd.htseq.counts.gz	b289406759e9027712904d021dc1c38c	242943	released
19f45761-3e35-4d0d-8300-8f78789e0a4d	d8a25d7b-ac92-4600-b3bf-7c23fc894268.htseq.counts.gz	cee222ee62787af2fd0d9e3948bcf186	251731	released
54d98701-bdd5-43a5-a4d0-29700ddde242	3141820b-ef93-421e-b2dc-aef412eed11a.htseq.counts.gz	63c6f817af7c25001043f59a4e79939f	244475	released
0dc8bb8c-7603-4d8d-aa91-47aabb591900	d341294b-8d79-417d-b865-9b7a8780323d.htseq.counts.gz	b7c829e9ed8de5427ffaf400baac425a	253848	released
911f9d5b-bf50-40d5-88d7-7fc1458be036	6d0133ed-95f5-4338-b7fa-f1fd9b1de7f0.htseq.counts.gz	1e788b644c8ed71d248ce1454065228f	252306	released
b9c1df30-5610-4718-8b78-b42ad2398332	54c8454b-8012-431c-9adc-507e1af3800f.htseq.counts.gz	412399e6926ecbd66c86ecedcf99f4f4	254609	released
7ef7ce38-5696-416f-9573-e39529d71282	801ee025-dd5a-473d-b78a-521fad06cdfd.htseq.counts.gz	31d7b30818c9eed034dffe29059c3345	248243	released
07db9e9d-059d-4e6c-b483-81517a492b96	aa4a76e4-5348-479c-8beb-3e4e34e18ce9.htseq.counts.gz	503fa39eb3a770b869ab0c4297fd0d43	250585	released
caa3689c-1b64-468d-9ecc-3e83fda2e0ed	5e191398-2338-4617-ac0d-ca8757a8cf48.htseq.counts.gz	e2a02b9b887e91d6a0fdf8dcc33ed99a	254186	released
7aa21b5c-341d-46e8-afd8-02eb625d09c5	0f5dfd08-9300-4d9a-b9fe-04bf86c9b743.htseq.counts.gz	474f740f35da154211a45a4a0bb91723	253166	released
dc05f032-6f49-4c24-bcb3-e67f9fdeb9ea	b01641dc-a38e-4a4b-b73a-3c12bcb75dd9.htseq.counts.gz	c0204da3765d9a786330488afdab9432	243062	released
19fd6711-b0ef-4177-8071-5e44292f7b5b	462a6c8e-b7d3-43d9-a021-49bb2c5686a5.htseq.counts.gz	7a371aff0ffbf085c9f84be3b7d0f3a4	243018	released
f0ca2e8b-bd3b-49d6-b427-2c1a31461dd7	4f080b05-8ba3-41ee-8bc7-93109d675b70.htseq.counts.gz	55a3611bd0877076e79b4dae72a5e4ea	251896	released
c1db441a-0a0d-48e2-ac18-9b7e1e9d8516	e6d40ab0-a9ee-44cd-898c-be0d0caee6af.htseq.counts.gz	ebe8985b5eedcddb893f74b27ba7b96d	253802	released
bd9a9959-58b1-46c1-ad87-9fbedf43a3ed	b7b8d49c-7364-4527-91d7-e1aad06c6837.htseq.counts.gz	e0f37610882722fa7f7b022bfb80f011	252284	released
b6799182-7435-4f67-8909-ae1af0043624	3532257b-4596-490b-815d-447fb35dfbd9.htseq.counts.gz	a8f826c75a3ab271b15f2caaa38c7400	254151	released
493347d2-65c6-4d0f-abc6-52feaeda757f	09d6c070-3a3a-4e47-b7e1-0c220266efaf.htseq.counts.gz	b619e245170f3176830942eab91009f4	253086	released
dacd4113-d8da-4832-bd9a-761ee5e25caf	40349596-c455-41e5-b633-aa858711fc40.htseq.counts.gz	c0833d80289af5f855a1190ca12e6f5b	253879	released
c7a59596-531f-4bae-b71d-9b5d0ed7349f	5bae4133-b991-4712-b1fe-37577dd54113.htseq.counts.gz	7f2d28b13eb67af21e5e9ab0caf02508	245124	released
57456700-b2d1-47f3-b137-88dfd7cf99a3	d325abb3-79f8-471b-b118-5d57e63b2d63.htseq.counts.gz	b52286bf3c71e80916067e6b505c78c3	253489	released
c94898c5-c5ad-4b92-b5e8-92b130208987	445d6369-eac8-4b81-a403-0086df82c45b.htseq.counts.gz	d75eaf6e53be1b0f35ef69deac40d3db	239685	released
21b6d12d-ec83-4e59-bb0f-3822b78cdcc5	09c3bf5c-703a-49ff-93cb-a9660eba1b12.htseq.counts.gz	28e54913baad21d870fa21a27dced2e4	245405	released
7516a33f-2b76-4fed-b6b4-7393cbddab2c	857c670d-8322-4648-a3de-8279a9d015b7.htseq.counts.gz	2ff3ec3c9e7fcf1a7f76ba6050654e69	253811	released
b897e76b-e431-4ad1-8d1a-ad8defc3c351	3bc1df9f-7147-474b-9243-9736b0401fcf.htseq.counts.gz	b43f944dff0760b098c4d9de25b09ce9	249897	released
99fc1165-b805-4b12-8e65-467e6f1aacc1	60056a00-bd9f-4bca-b9ba-6de18ab1dfd9.htseq.counts.gz	036bd23e668bf9cdc981a6a34571fb38	240228	released
9728d6cf-525b-458f-bc56-93b748b3b2cd	2011d3ba-8f3a-4307-a377-9d90f3fadee7.htseq.counts.gz	9c66c48feb3c1890f29e8bc7b74bb902	239783	released
47079154-021a-4edf-aa4f-6f339d0dc9cd	245b64cc-ee6c-403b-becf-77e558253fcf.htseq.counts.gz	ffd9b00923bcdaf3a6506008d0ff8c88	253452	released
ef1aebd7-cf03-4d74-897a-e945166ef08f	bbd48dd3-0d7c-45ee-8ce2-ff359e6d1234.htseq.counts.gz	b39b001e730dd0d7f55fd3da997b7d52	252224	released
29d6550b-4244-4775-b12a-e99957458ed4	3c9ca45b-1437-47f5-9853-ec3d4ab5d0b3.htseq.counts.gz	32e79ad6d146302cb282552d2e76687b	251801	released
2c1783c1-2f78-41ac-b8cc-072e44c10bc0	f7787fbb-68d8-4c5e-8c19-9e87c6ecaf79.htseq.counts.gz	c943db19c197e26148123d15ff323a23	249957	released
10931d19-4746-4274-bf1e-f16a60dba3ea	104bf6a1-d717-444e-9c2a-cf7db108e49f.htseq.counts.gz	348e4b96b4faf95a1733510d989b3a0d	242407	released
e90ff838-e3c9-4e63-91ea-7684509513d7	8abb55cb-7c9b-484f-9333-bf52deee1ae8.htseq.counts.gz	f2e9c7d332ea5e5be2d011ec85a0e069	254491	released
