"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-17-3p",2.74900833896764,8.42135234515885,3.11772898815455,0.0024924514840279,0.00783341894980199,-1.71557282321645,"hsa-miR-17-3p","miRNA"
"hsa-miR-32-5p",3.49623806510686,4.74317623425513,3.10343677076878,0.00260289133187848,0.00807233782072983,-1.63570062598553,"hsa-miR-32-5p","miRNA"
"hsa-miR-409-3p",-1.93757614769702,4.40219378426519,-3.10337019044765,0.0026034163101488,0.00807233782072983,-1.77652963313558,"hsa-miR-409-3p","miRNA"
"hsa-miR-590-3p",2.92349610347442,2.61361113556464,3.09127292368787,0.00270045402584648,0.00831739839960715,-1.66679737450835,"hsa-miR-590-3p","miRNA"
"hsa-miR-339-5p",-2.36632055163132,4.86454972866888,-3.06904922887317,0.00288753969109639,0.00883472408799028,-1.88756598718042,"hsa-miR-339-5p","miRNA"
"hsa-miR-450b-5p",3.50006844939273,3.17189383719382,3.0517281309037,0.00304162830772708,0.00924494919848627,-1.76796881304682,"hsa-miR-450b-5p","miRNA"
"hsa-miR-7706",-3.21537820676316,0.889243088620216,-3.04386177917512,0.00311409821835613,0.00940335540444791,-1.83390737231279,"hsa-miR-7706","miRNA"
"hsa-miR-128-1-5p",-2.65647954866147,2.34856608530549,-3.03742141491449,0.00317462041495492,0.00952386124486477,-1.88637591656575,"hsa-miR-128-1-5p","miRNA"
"hsa-miR-194-3p",-3.23967800869937,7.59809086094556,-3.02938345028662,0.00325168637219982,0.00969212325133109,-2.00734115709762,"hsa-miR-194-3p","miRNA"
"hsa-miR-26a-5p",1.94466293444833,10.6348841224561,2.99350156966279,0.00361733198793845,0.0107128678104331,-2.08772541421192,"hsa-miR-26a-5p","miRNA"
"hsa-miR-1307-5p",4.99990467767197,8.35783564708322,2.96525644711634,0.00393153842084952,0.0115692404486145,-2.01217181287866,"hsa-miR-1307-5p","miRNA"
"hsa-miR-196a-5p",4.9293976571397,8.02498325275958,2.94537001840168,0.0041676922021704,0.0121865430215362,-2.05455922252994,"hsa-miR-196a-5p","miRNA"
"hsa-miR-16-2-3p",3.32283067476614,3.06047095716016,2.94158092562782,0.00421414765831007,0.0122448818750896,-2.04410900456982,"hsa-miR-16-2-3p","miRNA"
"hsa-miR-140-3p",-2.21432864192142,9.05347078952581,-2.89634531715349,0.00480690276964274,0.0138799317473434,-2.36200789739445,"hsa-miR-140-3p","miRNA"
"hsa-miR-29c-5p",-2.03801890150113,4.04924748100199,-2.87160628667229,0.0051626745482636,0.0148146313124086,-2.37136712180184,"hsa-miR-29c-5p","miRNA"
"hsa-miR-450a-5p",2.8659593069346,2.52350283026763,2.86183831421148,0.00530969896425657,0.015142474823991,-2.23885764601454,"hsa-miR-450a-5p","miRNA"
"hsa-miR-323a-3p",-2.49353809097286,1.90864771548224,-2.83686149802817,0.00570331596262489,0.0161652268388509,-2.3674882156605,"hsa-miR-323a-3p","miRNA"
"hsa-miR-577",6.30110021501288,5.92782319654575,2.82451763322615,0.00590757998476752,0.0166420850790402,-2.32893047676416,"hsa-miR-577","miRNA"
"hsa-miR-342-5p",-2.74589315124603,1.62290440318941,-2.81568425686151,0.00605784911351982,0.0169619775178555,-2.41917682486607,"hsa-miR-342-5p","miRNA"
"hsa-miR-101-5p",2.97663389773339,2.66183429797883,2.79710907678162,0.00638533616287117,0.0177712367906414,-2.39387151672891,"hsa-miR-101-5p","miRNA"
"hsa-miR-330-3p",-2.60679128082652,1.31750716146245,-2.78975209872137,0.00651946628494354,0.0180358887643348,-2.46415981479803,"hsa-miR-330-3p","miRNA"
"hsa-miR-365a-3p",-2.16957376034942,4.5152467360054,-2.7800060154218,0.00670112570531844,0.0184207140177725,-2.62113238591561,"hsa-miR-365a-3p","miRNA"
"hsa-miR-365b-3p",-2.17142033847105,4.51311677295018,-2.77804075143036,0.00673831313637131,0.0184207140177725,-2.62597541109117,"hsa-miR-365b-3p","miRNA"
"hsa-let-7c-5p",-3.84201649191795,8.55944479535516,-2.77280701613644,0.00683827044317231,0.0185840055573271,-2.68475843157823,"hsa-let-7c-5p","miRNA"
"hsa-miR-199b-5p",2.60822903587365,6.5197409160099,2.74379603099794,0.0074173488417559,0.0200398547654458,-2.57557871211752,"hsa-miR-199b-5p","miRNA"
"hsa-miR-552-3p",5.94608230483783,5.55910608406318,2.70815033351003,0.00819001577687966,0.0219987633076651,-2.60249484525505,"hsa-miR-552-3p","miRNA"
"hsa-miR-340-5p",3.88545172358065,3.42481396633246,2.70526622445183,0.00825563253507446,0.0220468337063838,-2.60895844710279,"hsa-miR-340-5p","miRNA"
"hsa-miR-616-3p",-2.93622334547716,0.266646346157142,-2.68516633650145,0.00872638312946382,0.0231700517575419,-2.67934243862048,"hsa-miR-616-3p","miRNA"
"hsa-miR-155-5p",2.5955338420776,8.08913416749872,2.67660917554222,0.00893410597352139,0.0235860397700965,-2.82282486273531,"hsa-miR-155-5p","miRNA"
"hsa-let-7i-3p",-1.98639921313703,5.56807746937414,-2.67409593667116,0.0089959625158726,0.0236144016041656,-2.89119702496446,"hsa-let-7i-3p","miRNA"
"hsa-miR-493-3p",2.68094157564559,2.31920764039333,2.65375750940315,0.00951103607207095,0.0248254161881174,-2.72661920858041,"hsa-miR-493-3p","miRNA"
"hsa-miR-222-5p",3.64860171642877,3.31424390362173,2.64191433226529,0.00982315792398194,0.0254960615779756,-2.75373076780096,"hsa-miR-222-5p","miRNA"
"hsa-miR-95-3p",4.25876539456859,3.92224200066476,2.63632005647241,0.00997379880199141,0.0256995807538939,-2.76648625305021,"hsa-miR-95-3p","miRNA"
"hsa-miR-411-5p",3.17927241572265,2.73322982277949,2.6348833064968,0.0100128236703483,0.0256995807538939,-2.76948339016661,"hsa-miR-411-5p","miRNA"
"hsa-miR-144-5p",4.93692234639786,6.15256041347656,2.63165116053853,0.0101011213254568,0.0257829726649782,-2.77716459789067,"hsa-miR-144-5p","miRNA"
"hsa-let-7f-5p",4.640268925338,12.786941552651,2.62524949895474,0.0102780916808159,0.025947969161404,-3.00594917490431,"hsa-let-7f-5p","miRNA"
"hsa-miR-25-3p",1.50213742584446,12.9130733532521,2.6253406180673,0.0102755531620868,0.025947969161404,-3.03234910126163,"hsa-miR-25-3p","miRNA"
"hsa-miR-133b",-3.91638137545951,1.29649037591789,-2.62223599335221,0.0103623667186336,0.0260185512174387,-2.92666589284769,"hsa-miR-133b","miRNA"
"hsa-miR-215-5p",6.42610292524494,8.86456530056754,2.58900911121818,0.0113339463483683,0.0283042335834927,-2.87589049105403,"hsa-miR-215-5p","miRNA"
"hsa-miR-363-3p",-3.60451977954609,1.27735575024118,-2.58028741323558,0.0116022614651526,0.0288185204134435,-3.0013392837007,"hsa-miR-363-3p","miRNA"
"hsa-miR-29c-3p",2.55566193976399,9.33343780176154,2.57239939662954,0.0118498550023554,0.0292761123587604,-3.12105376357728,"hsa-miR-29c-3p","miRNA"
"hsa-miR-29a-5p",2.5527540372018,3.84854658995537,2.56766051718818,0.0120008849644936,0.0293515817066869,-2.91988517594269,"hsa-miR-29a-5p","miRNA"
"hsa-miR-323b-3p",-2.5918061651857,2.42743219297215,-2.56745527305929,0.0120074652436446,0.0293515817066869,-3.03617973754848,"hsa-miR-323b-3p","miRNA"
"hsa-miR-196b-5p",3.83632224289983,11.2857361688553,2.55101961510036,0.0125450915475039,0.0303970668936338,-3.1801108425089,"hsa-miR-196b-5p","miRNA"
"hsa-miR-106b-3p",-2.07746323350357,8.26332338943569,-2.55037081412323,0.0125667527633854,0.0303970668936338,-3.18746658524566,"hsa-miR-106b-3p","miRNA"
"hsa-miR-190a-5p",2.69616773611987,2.38360428408081,2.53075464623323,0.0132377889325115,0.0318534296188557,-3.00056912136398,"hsa-miR-190a-5p","miRNA"
"hsa-miR-939-5p",-2.41064507434318,0.503436450064612,-2.52610071512659,0.0134016512069291,0.032080636567882,-3.02674521089247,"hsa-miR-939-5p","miRNA"
"hsa-miR-125b-2-3p",-3.81083196247547,1.46075961860908,-2.51260257353247,0.0138872824930386,0.0330717758339374,-3.18521273903847,"hsa-miR-125b-2-3p","miRNA"
"hsa-miR-369-3p",3.06043056475749,2.7822146146309,2.49496669505891,0.0145455868249211,0.0344618518621208,-3.07833652624601,"hsa-miR-369-3p","miRNA"
"hsa-miR-301a-3p",3.19077467846745,2.87737071977134,2.49186196443963,0.0146643357561992,0.0345659342824695,-3.08505610424142,"hsa-miR-301a-3p","miRNA"
"hsa-miR-3200-3p",-3.03929583232702,1.88847748492765,-2.48824025495407,0.014803956492755,0.034717908120065,-3.21363976256126,"hsa-miR-3200-3p","miRNA"
"hsa-miR-937-3p",-3.19434375273206,1.46217575177666,-2.48163312191426,0.0150617432574883,0.0351440676008061,-3.21257962523052,"hsa-miR-937-3p","miRNA"
"hsa-miR-376c-3p",2.47702441315797,2.13377940066015,2.464871451233,0.0157338677385306,0.0364903644344067,-3.14267030590822,"hsa-miR-376c-3p","miRNA"
"hsa-miR-628-5p",3.8649894125079,3.62821844627378,2.46255225672373,0.0158289497857692,0.0364903644344067,-3.14806054956267,"hsa-miR-628-5p","miRNA"
"hsa-miR-592",5.00222722951253,4.59774460214957,2.46141705110551,0.015875678033151,0.0364903644344067,-3.15062163069433,"hsa-miR-592","miRNA"
"hsa-miR-375",-3.14345633099675,14.0139068407418,-2.44868342841343,0.0164083516675968,0.0375280122298501,-3.45907879317456,"hsa-miR-375","miRNA"
"hsa-miR-27b-5p",1.98240102408585,3.97084588585985,2.43434233973466,0.0170273554228448,0.0386218809024331,-3.20798217465408,"hsa-miR-27b-5p","miRNA"
"hsa-miR-16-1-3p",2.25830286662879,1.93665252883217,2.43373970730424,0.0170538175413341,0.0386218809024331,-3.20866575739043,"hsa-miR-16-1-3p","miRNA"
"hsa-let-7a-2-3p",-2.9709742686481,1.65125886086504,-2.38394030117553,0.0193715655740473,0.0436568941229749,-3.41840015700257,"hsa-let-7a-2-3p","miRNA"
