"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-181b-2-3p",2.01044338757659,0.793667318020626,3.37000696333922,0.000826560508470967,0.00116966109689288,-1.29710359174299,"hsa-miR-181b-2-3p","miRNA"
"hsa-miR-381-3p",1.00353382783651,5.11663392782659,3.29569219939796,0.00107159864481186,0.00150693559426667,-1.70996751901095,"hsa-miR-381-3p","miRNA"
"hsa-miR-34c-5p",1.53294744556631,0.641794308326761,3.28974787881833,0.00109386275428071,0.00153345245927202,-1.55454753671843,"hsa-miR-34c-5p","miRNA"
"hsa-miR-200c-5p",1.28376799481217,5.85644566652294,3.19906384628678,0.00149133695052331,0.00207771401775693,-2.04952974308956,"hsa-miR-200c-5p","miRNA"
"hsa-miR-301b-3p",1.50115924312415,0.237936443042768,3.18550592440373,0.00156112735940764,0.00216156095917982,-1.88004406106228,"hsa-miR-301b-3p","miRNA"
"hsa-miR-3651",-1.70560864000713,0.754432659269702,-3.18349589799301,0.00157172740229275,0.00216956236512803,-1.93295278841693,"hsa-miR-3651","miRNA"
"hsa-miR-181b-5p",-1.0260884570877,7.2679248525198,-3.18144128696793,0.00158263128700589,0.00217793296376958,-2.2087225485805,"hsa-miR-181b-5p","miRNA"
"hsa-miR-4326",-2.02125892818075,1.97332914481563,-3.17027533459747,0.00164312157420764,0.00225428264754097,-2.0838635421656,"hsa-miR-4326","miRNA"
"hsa-miR-135b-3p",1.63263844626126,0.378457533687773,3.08709278694288,0.00216551552506099,0.00293518670565496,-2.17853352808448,"hsa-miR-135b-3p","miRNA"
"hsa-miR-26a-1-3p",2.48089570662166,1.57673040265677,2.99819087416418,0.00288962503325903,0.00388158586557184,-2.44150114174032,"hsa-miR-26a-1-3p","miRNA"
"hsa-miR-203a-5p",1.54944196396192,0.305645172845892,2.98460752595744,0.00301802668191597,0.00404200002042318,-2.47975661192177,"hsa-miR-203a-5p","miRNA"
"hsa-miR-338-5p",-1.3294915817623,2.16304067517036,-2.97171363370287,0.00314472360625435,0.00418676219767591,-2.630368674362,"hsa-miR-338-5p","miRNA"
"hsa-miR-155-5p",1.10795851533671,8.06424622983573,2.97199828138864,0.00314187486839838,0.00418676219767591,-2.82977406138181,"hsa-miR-155-5p","miRNA"
"hsa-miR-3653-5p",-1.82398327333325,0.655738163585069,-2.88602006634782,0.00411810776287044,0.00543445305950645,-2.80639894878119,"hsa-miR-3653-5p","miRNA"
"hsa-miR-744-3p",1.54279654240353,3.9565770053365,2.87456148393177,0.00426726547098028,0.00561482298813195,-2.83975769662217,"hsa-miR-744-3p","miRNA"
"hsa-let-7g-3p",1.36665098539148,4.88327527163747,2.78499379799495,0.00561356710383452,0.0073220440484798,-3.15953099186839,"hsa-let-7g-3p","miRNA"
"hsa-miR-18a-3p",-1.11926866927543,1.35633708873835,-2.77189365312532,0.00583989644486682,0.00759524104101176,-3.12259951474041,"hsa-miR-18a-3p","miRNA"
"hsa-miR-589-3p",-1.22447369186576,1.14967735664185,-2.76231515943864,0.006010574581269,0.00779469326101167,-3.14305123150593,"hsa-miR-589-3p","miRNA"
"hsa-miR-223-5p",1.29159982644376,1.74053892711788,2.70781032514796,0.00707054583345067,0.00909070178586514,-3.24603196358481,"hsa-miR-223-5p","miRNA"
"hsa-miR-500b-3p",-1.14096274513401,0.532694287459229,-2.69647751503214,0.00731104568422095,0.00937313549259097,-3.28987432550244,"hsa-miR-500b-3p","miRNA"
"hsa-miR-147b",1.6457642948007,1.19769543419639,2.69473457513946,0.00734868032084242,0.00939461972834969,-3.27982292925925,"hsa-miR-147b","miRNA"
"hsa-miR-514a-3p",1.97190474845175,0.694588169685182,2.68726264631454,0.00751200369598784,0.0095762086776049,-3.29895160192216,"hsa-miR-514a-3p","miRNA"
"hsa-miR-204-5p",-1.91669825409942,0.845450110355459,-2.68066218727236,0.00765898843128018,0.00973600224315276,-3.38239044259194,"hsa-miR-204-5p","miRNA"
"hsa-miR-363-3p",-1.50992435741762,1.210512774938,-2.63007454474169,0.00887420027005664,0.0112489862578183,-3.51053581820413,"hsa-miR-363-3p","miRNA"
"hsa-miR-431-5p",1.10113062668469,1.13104751714631,2.60756170211924,0.00946856151896984,0.0119686873133046,-3.50477894982302,"hsa-miR-431-5p","miRNA"
"hsa-miR-455-3p",-1.09551224594979,7.45659695797449,-2.60183232651637,0.00962540300130445,0.012132860926014,-3.84603291272392,"hsa-miR-455-3p","miRNA"
"hsa-miR-412-5p",1.64845228075576,1.9320330147652,2.59785417542091,0.00973566832574326,0.0122375719178337,-3.53029035449481,"hsa-miR-412-5p","miRNA"
"hsa-miR-508-3p",2.06806024201116,2.46535301008259,2.56900087287648,0.0105698208042552,0.0132490790025483,-3.6035602961291,"hsa-miR-508-3p","miRNA"
"hsa-let-7a-2-3p",-1.28290549131029,1.47126949307933,-2.51133247423909,0.0124305412405145,0.0154951345103366,-3.80875990348641,"hsa-let-7a-2-3p","miRNA"
"hsa-miR-224-3p",1.03582765569089,0.963550732668223,2.49144349955326,0.0131367818327826,0.0163302536595364,-3.7932705722083,"hsa-miR-224-3p","miRNA"
"hsa-miR-221-5p",1.39625659182469,2.31081760539649,2.3576132905547,0.0188854222292952,0.0232833972689941,-4.11204188280609,"hsa-miR-221-5p","miRNA"
"hsa-miR-3200-3p",-1.09034653276848,1.70289819113318,-2.31372187695748,0.0212015771148562,0.0260675128461347,-4.27973982976263,"hsa-miR-3200-3p","miRNA"
"hsa-miR-31-3p",1.87298245810723,0.826267420495315,2.3087797573075,0.0214773268729819,0.0263345969832203,-4.22142797292393,"hsa-miR-31-3p","miRNA"
"hsa-miR-935",-1.58603599367364,1.78794474203444,-2.20519992052441,0.0280223013777559,0.033837910159988,-4.55989765993913,"hsa-miR-935","miRNA"
"hsa-miR-3130-5p",-1.35664788445715,2.30745939608945,-2.18320838665439,0.0296153167764516,0.0356334025385113,-4.62847439519244,"hsa-miR-3130-5p","miRNA"
