"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000157168","NRG1","protein_coding",-2.1436726277134,0.648028494355779,-10.4600597457553,5.73661515418672e-23,4.20307018365574e-22,41.2064249145703
"ENSG00000143333","RGS16","protein_coding",2.12940309559305,3.75745898920219,10.4526091800975,6.10767297606535e-23,4.47272375747236e-22,41.1759127493591
"ENSG00000146192","FGD2","protein_coding",-1.37742535523475,2.32855568980257,-10.4428523340981,6.62986531895131e-23,4.84794591798206e-22,40.9287175324793
"ENSG00000112799","LY86","protein_coding",-1.62153608110271,0.860265802748238,-10.4396412935551,6.81124040147228e-23,4.97566314591533e-22,41.0568950840618
"ENSG00000175899","A2M","protein_coding",-1.64052513912627,7.82809041729568,-10.4351780455732,7.07156073309562e-23,5.16074215588101e-22,40.7386922270042
"ENSG00000102030","NAA10","protein_coding",1.18885438692073,5.65448580976602,10.4324584864889,7.23500108475134e-23,5.27482469641831e-22,40.7002966063191
"ENSG00000023902","PLEKHO1","protein_coding",-1.41176227321494,4.3682432887047,-10.4317315008484,7.279323581009e-23,5.30452970096929e-22,40.6629795054481
"ENSG00000143515","ATP8B2","protein_coding",-1.43451446004427,3.54118189386665,-10.4236953733372,7.7876047061477e-23,5.66656244253909e-22,40.6348602927338
"ENSG00000160796","NBEAL2","protein_coding",1.2109115564612,7.04775541070754,10.4234566215414,7.80323306666855e-23,5.67514820972332e-22,40.5763187110859
"ENSG00000197594","ENPP1","protein_coding",-1.46039552950123,2.98332996956277,-10.4181766036545,8.15693096629326e-23,5.92657013639209e-22,40.6347033920563
"ENSG00000120137","PANK3","protein_coding",-1.15715202818784,6.14829646889293,-10.4176500528733,8.19306512378483e-23,5.94990746030077e-22,40.5371866307351
"ENSG00000115468","EFHD1","protein_coding",-1.48622315382085,0.949302817562664,-10.4146196233694,8.40413849119734e-23,6.09721687305565e-22,40.848209339512
"ENSG00000101745","ANKRD12","protein_coding",-1.08872369529746,4.30265209615797,-10.4016910617445,9.36700194388717e-23,6.77918470763162e-22,40.4183955596322
"ENSG00000140479","PCSK6","protein_coding",-1.16407790827293,4.27679713782478,-10.3993536667055,9.55242597884783e-23,6.91000770417191e-22,40.40115264956
"ENSG00000107819","SFXN3","protein_coding",1.04979956617485,5.51224107125655,10.3991500666072,9.56874903460609e-23,6.918438936143e-22,40.4227819397874
"ENSG00000105202","FBL","protein_coding",1.04155757217518,7.78965550408567,10.3974104341563,9.7093536359175e-23,7.01667672313843e-22,40.363308922383
"ENSG00000164045","CDC25A","protein_coding",1.2623348231424,4.27612222761558,10.3962950532855,9.80058132305615e-23,7.07915284455839e-22,40.5640518283939
"ENSG00000117643","MAN1C1","protein_coding",-1.33893799436688,2.572120691776,-10.3885181387111,1.04607649543193e-22,7.54865911163195e-22,40.4432872817106
"ENSG00000114859","CLCN2","protein_coding",-1.29374665833197,5.22124817964132,-10.3868568446445,1.06074192729932e-22,7.65076245568393e-22,40.2763517259709
"ENSG00000149582","TMEM25","protein_coding",-1.55784553166778,1.6998157013651,-10.3860557275114,1.06788676919623e-22,7.69854946158875e-22,40.5157153997795
