"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-153-5p",4.65593293447306,4.87166862615784,3.63339466524277,0.000516814672360054,0.00121478087936178,-0.303652238930233,"hsa-miR-153-5p","miRNA"
"hsa-miR-664b-3p",-2.45642309044471,1.04311561433399,-3.60291348086235,0.000571012103959323,0.00133528984310488,-0.461049764008462,"hsa-miR-664b-3p","miRNA"
"hsa-miR-3074-5p",-2.12305719451606,2.46124438175466,-3.5482866092903,0.000681911387793545,0.00158648771854008,-0.687699686618001,"hsa-miR-3074-5p","miRNA"
"hsa-miR-331-3p",-2.54811248378111,3.89180131905088,-3.54328278126927,0.000693033168587004,0.00160417829886129,-0.790890899965135,"hsa-miR-331-3p","miRNA"
"hsa-miR-708-5p",4.57164751839965,4.10067308874102,3.51553524305135,0.000757894821794835,0.00173498537801416,-0.648698988200451,"hsa-miR-708-5p","miRNA"
"hsa-miR-16-1-3p",2.1240308626692,1.83226954861265,3.51428100681841,0.000760958499129018,0.00173498537801416,-0.650978600261591,"hsa-miR-16-1-3p","miRNA"
"hsa-miR-1271-5p",-2.3340457897201,1.13250446866187,-3.51500791349013,0.000759181483901282,0.00173498537801416,-0.715673289147541,"hsa-miR-1271-5p","miRNA"
"hsa-miR-26a-2-3p",2.97146124798391,1.87252554518295,3.4824855241719,0.000842658491122836,0.0019117028455324,-0.742759492579125,"hsa-miR-26a-2-3p","miRNA"
"hsa-miR-215-5p",6.20591578207753,8.60601796699891,3.45156465964837,0.000930022316745609,0.00209945631899009,-0.867714479123368,"hsa-miR-215-5p","miRNA"
"hsa-miR-10b-3p",2.95251285405014,2.52542912971055,3.371880587145,0.00119629206697618,0.00268723735241941,-1.057801022856,"hsa-miR-10b-3p","miRNA"
"hsa-miR-628-5p",4.41977105368292,3.39476049267071,3.36797090351351,0.00121105100271317,0.00270705518253533,-1.0693554054263,"hsa-miR-628-5p","miRNA"
"hsa-miR-376c-3p",2.56534273849329,2.14445707335426,3.34577157655563,0.00129815961557685,0.00288761358391728,-1.13065523195155,"hsa-miR-376c-3p","miRNA"
"hsa-miR-421",3.1607201114944,1.90035999414474,3.33547925590916,0.00134051823599639,0.00296736075540948,-1.15917410890931,"hsa-miR-421","miRNA"
"hsa-miR-92a-3p",-1.89875708946581,14.3458863438142,-3.33134293088881,0.00135790533610512,0.00299132769692721,-1.49705709418501,"hsa-miR-92a-3p","miRNA"
"hsa-miR-217",4.58631819799715,4.93435200929361,3.32547234998128,0.0013829471556864,0.00303184568746634,-1.18866324596437,"hsa-miR-217","miRNA"
"hsa-miR-29a-5p",2.79787731775483,3.65207446696657,3.29841386386885,0.00150409021482614,0.00328165137780248,-1.26337158178068,"hsa-miR-29a-5p","miRNA"
"hsa-miR-188-5p",3.22763715177177,2.13793958308423,3.28064923349007,0.00158897544048189,0.00345034667076068,-1.31140324114593,"hsa-miR-188-5p","miRNA"
"hsa-miR-1307-3p",-2.18154030597307,9.6657677461924,-3.27532678764793,0.00161527136727386,0.00349082342880037,-1.63739659847795,"hsa-miR-1307-3p","miRNA"
"hsa-miR-30a-5p",1.40851555959333,11.8595390430654,3.25792073519219,0.00170414940771272,0.00366552891470284,-1.67271233389852,"hsa-miR-30a-5p","miRNA"
"hsa-miR-651-5p",2.80403925275239,1.67422273188983,3.25519189437631,0.00171849273013789,0.00367902668987267,-1.38086587571765,"hsa-miR-651-5p","miRNA"
"hsa-miR-107",2.00403416144614,5.56858699921691,3.24236169664964,0.00178746229280635,0.00380879815663408,-1.51541716464609,"hsa-miR-107","miRNA"
"hsa-miR-505-5p",-1.85135132260178,2.85127393208153,-3.23933804310132,0.00180408998949747,0.00382634900098068,-1.59660694022746,"hsa-miR-505-5p","miRNA"
"hsa-miR-196b-5p",3.7485086981343,11.1199359227802,3.21725117695231,0.00193002271019601,0.00407449238819158,-1.75118840405434,"hsa-miR-196b-5p","miRNA"
"hsa-miR-500b-5p",2.44036185831239,2.64466222764994,3.21262291356495,0.00195743513220867,0.0041133199091574,-1.49783750272929,"hsa-miR-500b-5p","miRNA"
"hsa-miR-500a-5p",2.43616784020871,2.63968380332836,3.20611977317374,0.0019965689254223,0.00417630931189253,-1.51546646459042,"hsa-miR-500a-5p","miRNA"
